Store,Weekly_Sales
20,29508.30159193264
4,29161.210414719626
14,28784.85172709163
13,27355.136891350012
2,26898.070031256106
10,26332.303818710614
27,24826.98453594132
6,21913.243623543236
1,21710.543620655993
39,21000.763562462038
19,20362.126734331887
23,19776.180880597014
31,19681.907464011045
11,19276.762750944148
24,18969.106499804457
28,18714.889803223574
41,17976.004648096747
32,16351.621854538325
18,15733.313136220713
22,15181.218886251032
12,14867.308619268419
26,14554.129672214329
35,13803.59698572628
40,13763.6328032345
34,13522.08167057903
43,13415.114117908457
8,13133.014768064679
17,12954.3936364558
45,11662.897314516966
42,11443.370117934706
21,11283.435495721144
25,10308.157810077519
37,10297.355026366915
15,9002.493073426927
9,8772.890378933122
30,8764.237719396311
36,8584.41256348441
7,8358.76614833026
29,8158.810609201481
16,7863.224123689506
38,7492.478459657702
3,6373.03398295706
44,6038.929814479007
33,5728.4140527208265
5,5053.4158128680965
